Particulars,Unit,Unit Cost,Stock/Property #,UMIS Account Code and Account Title,UACS Code - Accounting,Account Title - Accounting,UACS Code - Budget,Account Title - Budget,Account Group,Budget Category,PPMP?
Fertilizer(Complete),SACK,"4,960.37",AG-110,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Fertilizer; Urea,SACK,"2,657.35",AG-111,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Fish Meal,SACK,"4,428.91",AG-113,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Formaldehyde,PIECE,"1,110.77",AG-114,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Friponil,PACK,"1,936.00",AG-287,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Fungicide,GALLON,"2,728.20",AG-116,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
GARDEN SHADE NET BLACK (50% SHADING) STRAW / CLOTH TYPE 1 ROLL (50 METERS),ROLL,"6,289.05",AG-118,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
GILLNETS ( net mesh size is 5mm and a length of 7.5 m),PIECE,"3,500.00",51OE,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
GREEN LETTUCE SEEDS,UNIT,418,AG-127,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Galvanized Metal Bucket,PIECE,241.58,AG-295,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Garden Net (70% shading; double width),METER,885.79,AG-035-1,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Garden Soil (6m3/load),LOAD,"2,657.35",AG-119,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Garden Sprinkler; 10liter,PIECE,531.47,AG-036-1,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Gardening Fork,PIECE,109.81,AG-293,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Gas Mask (spray mist mask),PIECE,885.79,AG-120,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Gestating Pellet,KILO,"2,415.77",AG-121,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Ginger Rhizomes,KILO,876.93,AG-122,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Glassine bag for seed packing 100's,PACK,209.36,AG-123,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Goat breed stock,PIECE,"12,100.00",AG-124,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Gracilaria sp.,UNIT,"1,375.00",AG-571,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Grafting Knife,PIECE,"1,151.52",AG-038-1,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Grafting tape,ROLL,230.3,AG-039-1,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Grass Harrow,UNIT,974.37,AG-040-1,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Green Lettuce Seeds,PACK,338.21,AG-128,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Ground Rod w/ clamp,SET,660,28CA-351,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Growmore / Grow More Water Soluble Foliar Fertilizer 1 Kilo (15-15-15),PIECE,660,AG-627,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Growmore / Grow More Water Soluble Foliar Fertilizer 1 Kilo (4-0-48),PIECE,660,AG-626,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
HYROSOL A & B CONCENTRATE/UNDILUTED,UNIT,"11,595.67",AG-143,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Hammered Corn,SACK,"1,948.72",AG-129,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Harrow,UNIT,805.26,LS-172,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Herbicide,GALLON,"2,200.00",AG-132,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Herbicide ( Round-Up),LITER,"1,062.94",AG-133,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Hoe,PIECE,366.03,AG-290,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
"Hog  wire (2""x2""x4')9 hole-4FT X 30 Meters",ROLL,"2,062.50",AG-043,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
"Hog wire (2""2""x4);9 HOLE - 4FT X 30 Meters",METER,"2,745.93",AG-043,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Hot Chili Seeds,PACK,584.62,AG-137,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Hybride Corn Seed,SACK,"11,515.15",AG-138,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Hydrochloric acid,PIECE,"1,875.64",AG-140,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Hydrosol A&B concentrate / undiluted,PACK,"1,932.61",AG-141,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Hydrosol B concentrate/ undiluted,PACK,"1,932.61",AG-142,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
INSECTICIDE; 600mL,can,139.36,10191509-IN-A01,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
INSECTICIDE; aerosol type; net content: 600ml min,CAN,301.17,CE-052,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
ISOPRLYLAMINE SALT GLYPHOSATE,SACK,"3,279.58",AG-506,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
ISOPROPYLAMINE SALT (GLYPHOSATE equivalent round -up),GALLON,"3,245.00",AG-503,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Iceberg Lettuce Seeds 25grams,PIECE,935,AG-620,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Imida cloprid; Beta-cyfluthrin; cychlohexanone,BOT,708.62,AG-144,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Improve grass Planting materials,PACK,"13,750.00",OTS,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Insect spray,BOTTLE,660,AG-610,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Insecticide,KG,974.37,AG-304,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Invermection,BOTTLE,825,AG-412,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Iodine crystals,PIECE,"1,661.30",AG-145,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Isopropylamine Salt glyphosate (glyphosate equivalent (Round-up),GALLON,"2,745.93",AG-149,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Isopropylamine salt (glyphosate equivalent),GALLON,"2,745.93",AG-146,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Isopropylamine salt glyphosate equivalent (round-up),GALLON,"3,245.00",AG-503,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Ivermictiine,UNIT,850,AG-280,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Ivumec (100ml),VIAL,"1,694.00",AG-045,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Jute Sacks,PIECE,51.25,AG-154,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Kappaphycus alvarezii,UNIT,"1,375.00",AG-572,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Knife or Hacksaw,PIECE,250,04LE,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Lactating Pellet,KILO,"2,562.18",AG-156,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Lactose powder,PIECE,"6,820.52",AG-157,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Lagarao (Colasmata),PIECE,673.2,AG-046-1,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Lambacyhalothrin,LIT,"1,062.94",AG-158,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Lambacyhalothrin+ Thaimethoxam (Alika),LITER,798.6,AG-158,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Langkawas rhizomes,KILO,620.04,AG-159,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Lanolin,PIECE,"3,195.89",AG-160,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Lemon Grass seedlings,BUNDLE,88.58,AG-161,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Ligumes seed,SACHET,442.89,CP-105,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Limestone,SACK,"1,207.89",AG-162,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Limestone (agriculture used ),KILO,73.21,AG-163,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Liquid Calcium Boron Foliar Fertilizer (CaB) - Stoller,PIECE,550,AG-628,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Live Goat (Halal),HEAD,"11,273.57",AG-048-1,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Luyang Dilaw Rhizomes,KILO,563.67,AG-165,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Lysine HCL,KILO,515.36,AG-166,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Mancozeb(Dithane),KILO,"1,771.56",AG-167,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Mannitol Salt Agar,PIECE,"2,338.46",AG-168,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Megatonic Double Affordable Twin Pack Foliar Fertilizer and Insecticide,PIECE,"2,145.00",AG-623,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Metal Tow Rope 5 to 10 tons,UNIT,"1,860.14",AT-081,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Methanol,PIECE,"1,266.67",AG-169,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Methomyl,BOX,"1,151.52",AG-170,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Methylene blue,PIECE,"1,158.60",AG-171,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Molasses,CONTAINER,"1,240.10",AG-173,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Molasses Yeast Medium,LITER,"1,610.51",04LE-502,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Molasses/muscovado sugar,PACK,177.16,AG-174,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Mono Dicalphos,KILO,265.74,AG-175,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Monochloroacetic acid (MCA)/ Chloroacetic acid; 500g,BOTTLE,"4,831.53",04LE-503,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Monofilament nylon cord (#15mm),UNIT,825,AG-573,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Multipurpose working suit/ Farmers Long sleeves,PIECE,185,AG-1020,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
Multipurpose working suit/ Farmers Long sleeves,PIECE,185,OS,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,1040409000,Agricultural and Marine Supplies Inventory,5020310000,Agricultural and Marine Supplies Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
